method,label,n_seeds,seeds,acc_forget_mean,acc_forget_std,acc_retain_mean,acc_retain_std,acc_test_mean,acc_test_std,MIA_mean,MIA_std,Avg_Gap
FT,FT,1,1,99.98,0.0,99.98,0.0,94.36,0.0,,,
GA,GA,1,1,100.0,0.0,100.0,0.0,94.98,0.0,56.61,0.0,
IU,IU,1,1,9.16,0.0,10.105,0.0,10.0,0.0,50.14,0.0,
BE,BE,1,1,31.02,0.0,32.875,0.0,27.88,0.0,53.28,0.0,
l1sparse,l1-sparse,1,1,84.3,0.0,87.085,0.0,84.05,0.0,50.13,0.0,
SalUn,SalUn,1,1,98.02,0.0,99.92,0.0,94.21,0.0,51.37,0.0,
MUNBa,MUNBa,1,1,92.88,0.0,96.14,0.0,89.43,0.0,51.12,0.0,
MUKSB,MUKSB,1,1,95.4,0.0,98.1825,0.0,91.85,0.0,52.33,0.0,
